tag_name,name,author_login,created_at,body,url,assets_url,upload_url,html_url,id,author_id,author_node_id,author_avatar_url,author_gravatar_id,author_url,author_html_url,author_followers_url,author_following_url,author_gists_url,author_starred_url,author_subscriptions_url,author_organizations_url,author_repos_url,author_events_url,author_received_events_url,author_type,author_site_admin,node_id,target_commitish,draft,prerelease,published_at,tarball_url,zipball_url,assets
v2021-11-17,Updated November DO release,lschriml,2021-11-17T19:03:44Z,"This release addresses two issues, an IAO ID substitution for the rdf:label, and the revision of has_symptom property.",https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/53584001,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/53584001/assets,"https://uploads.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/53584001/assets{?name,label}",https://github.com/DiseaseOntology/HumanDiseaseOntology/releases/tag/v2021-11-17,53584001,4333069,MDQ6VXNlcjQzMzMwNjk=,https://avatars.githubusercontent.com/u/4333069?v=4,NA,https://api.github.com/users/lschriml,https://github.com/lschriml,https://api.github.com/users/lschriml/followers,https://api.github.com/users/lschriml/following{/other_user},https://api.github.com/users/lschriml/gists{/gist_id},https://api.github.com/users/lschriml/starred{/owner}{/repo},https://api.github.com/users/lschriml/subscriptions,https://api.github.com/users/lschriml/orgs,https://api.github.com/users/lschriml/repos,https://api.github.com/users/lschriml/events{/privacy},https://api.github.com/users/lschriml/received_events,User,FALSE,RE_kwDOApA9Xc4DMaCB,main,FALSE,FALSE,2021-11-17T19:10:02Z,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/tarball/v2021-11-17,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/zipball/v2021-11-17,NA
v2021-11-16,DO's November Release,lschriml,2021-11-16T20:09:46Z,"The DO's November 2021 release includes 10,901 disease terms, the addition of: 32 disease terms, a new slim file: DO_CFDE_slim with 44 DO terms, for the Common Fund Data Ecosystem project, the addition of: over 2,600 has_symptom axioms, DO terms for the OMIM pontocerebellar hypoplasia phenotypic series, and additional definitions and xrefs.",https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/53501761,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/53501761/assets,"https://uploads.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/53501761/assets{?name,label}",https://github.com/DiseaseOntology/HumanDiseaseOntology/releases/tag/v2021-11-16,53501761,4333069,MDQ6VXNlcjQzMzMwNjk=,https://avatars.githubusercontent.com/u/4333069?v=4,NA,https://api.github.com/users/lschriml,https://github.com/lschriml,https://api.github.com/users/lschriml/followers,https://api.github.com/users/lschriml/following{/other_user},https://api.github.com/users/lschriml/gists{/gist_id},https://api.github.com/users/lschriml/starred{/owner}{/repo},https://api.github.com/users/lschriml/subscriptions,https://api.github.com/users/lschriml/orgs,https://api.github.com/users/lschriml/repos,https://api.github.com/users/lschriml/events{/privacy},https://api.github.com/users/lschriml/received_events,User,FALSE,RE_kwDOApA9Xc4DMF9B,main,FALSE,FALSE,2021-11-16T20:15:53Z,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/tarball/v2021-11-16,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/zipball/v2021-11-16,NA
v2021-10-11,October 2021 early release,lschriml,2021-10-11T22:49:42Z,An extra release in early October to update imports and push out 11 new disease terms added by MGI.,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/51172232,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/51172232/assets,"https://uploads.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/51172232/assets{?name,label}",https://github.com/DiseaseOntology/HumanDiseaseOntology/releases/tag/v2021-10-11,51172232,4333069,MDQ6VXNlcjQzMzMwNjk=,https://avatars.githubusercontent.com/u/4333069?v=4,NA,https://api.github.com/users/lschriml,https://github.com/lschriml,https://api.github.com/users/lschriml/followers,https://api.github.com/users/lschriml/following{/other_user},https://api.github.com/users/lschriml/gists{/gist_id},https://api.github.com/users/lschriml/starred{/owner}{/repo},https://api.github.com/users/lschriml/subscriptions,https://api.github.com/users/lschriml/orgs,https://api.github.com/users/lschriml/repos,https://api.github.com/users/lschriml/events{/privacy},https://api.github.com/users/lschriml/received_events,User,FALSE,RE_kwDOApA9Xc4DDNOI,main,FALSE,FALSE,2021-10-11T22:51:31Z,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/tarball/v2021-10-11,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/zipball/v2021-10-11,NA
v2021-09-30,DO's September Release,lschriml,2021-10-01T13:52:57Z,"DO's September 2021 release, contains updated biotin deficiency, dextro-looped transposition of the great arteries, glycogen storage diseases, the addition of the WHO's critical, severe and non-severe COVID-19 terms, classification updates for sexual health disorders and fibromyalgia, additional HPO phenotype axioms, and the addition of RO term object property 'disease has feature', and updated DISDRIV import.",https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/50636707,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/50636707/assets,"https://uploads.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/50636707/assets{?name,label}",https://github.com/DiseaseOntology/HumanDiseaseOntology/releases/tag/v2021-09-30,50636707,4333069,MDQ6VXNlcjQzMzMwNjk=,https://avatars.githubusercontent.com/u/4333069?v=4,NA,https://api.github.com/users/lschriml,https://github.com/lschriml,https://api.github.com/users/lschriml/followers,https://api.github.com/users/lschriml/following{/other_user},https://api.github.com/users/lschriml/gists{/gist_id},https://api.github.com/users/lschriml/starred{/owner}{/repo},https://api.github.com/users/lschriml/subscriptions,https://api.github.com/users/lschriml/orgs,https://api.github.com/users/lschriml/repos,https://api.github.com/users/lschriml/events{/privacy},https://api.github.com/users/lschriml/received_events,User,FALSE,RE_kwDOApA9Xc4DBKej,main,FALSE,FALSE,2021-10-01T13:57:29Z,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/tarball/v2021-09-30,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/zipball/v2021-09-30,NA
v2021-08-17v2,2nd August release,lschriml,2021-08-17T22:57:26Z,2nd August release to update ID label for Klippel-Feil syndrome 3 DOID:0080591,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/48011015,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/48011015/assets,"https://uploads.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/48011015/assets{?name,label}",https://github.com/DiseaseOntology/HumanDiseaseOntology/releases/tag/v2021-08-17v2,48011015,4333069,MDQ6VXNlcjQzMzMwNjk=,https://avatars.githubusercontent.com/u/4333069?v=4,NA,https://api.github.com/users/lschriml,https://github.com/lschriml,https://api.github.com/users/lschriml/followers,https://api.github.com/users/lschriml/following{/other_user},https://api.github.com/users/lschriml/gists{/gist_id},https://api.github.com/users/lschriml/starred{/owner}{/repo},https://api.github.com/users/lschriml/subscriptions,https://api.github.com/users/lschriml/orgs,https://api.github.com/users/lschriml/repos,https://api.github.com/users/lschriml/events{/privacy},https://api.github.com/users/lschriml/received_events,User,FALSE,MDc6UmVsZWFzZTQ4MDExMDE1,main,FALSE,FALSE,2021-08-17T23:59:52Z,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/tarball/v2021-08-17v2,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/zipball/v2021-08-17v2,NA
v2021-08-17,"DO's 100th Release, August release",lschriml,2021-08-17T19:55:39Z,"The 100th GitHub Release of the Human Disease Ontology. 10,862 disease terms. 76% (8312) textual definitions. Includes UMLS bi-annual update: new MESH, NCI, SNOMEDCT xrefs. New disease terms including parsley allergy, dill allergy, RNASET2-deficient cystic leukoencephalopathy.",https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/48001573,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/48001573/assets,"https://uploads.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/48001573/assets{?name,label}",https://github.com/DiseaseOntology/HumanDiseaseOntology/releases/tag/v2021-08-17,48001573,4333069,MDQ6VXNlcjQzMzMwNjk=,https://avatars.githubusercontent.com/u/4333069?v=4,NA,https://api.github.com/users/lschriml,https://github.com/lschriml,https://api.github.com/users/lschriml/followers,https://api.github.com/users/lschriml/following{/other_user},https://api.github.com/users/lschriml/gists{/gist_id},https://api.github.com/users/lschriml/starred{/owner}{/repo},https://api.github.com/users/lschriml/subscriptions,https://api.github.com/users/lschriml/orgs,https://api.github.com/users/lschriml/repos,https://api.github.com/users/lschriml/events{/privacy},https://api.github.com/users/lschriml/received_events,User,FALSE,MDc6UmVsZWFzZTQ4MDAxNTcz,main,FALSE,FALSE,2021-08-17T20:00:19Z,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/tarball/v2021-08-17,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/zipball/v2021-08-17,NA
v2021-07-29,DO's July 2021 Release - #99,lschriml,2021-07-29T15:23:08Z,"DO's 99th GitHub release: includes 10,855 disease terms (76% with text definitions), 707 EQ and 6,542 SubClassOf disease axioms. Addition of ""Disease Drivers"" and ""Onset"" imports; doid-base.owl file, new disease terms including: diffuse large B-cell lymphoma activated B-cell type, diffuse large B-cell lymphoma germinal center B-cell type, autoimmune epilepsy, tuberculous encephalopathy; revised the Cowden classification; replace Relation term: 'located in' with 'disease has location'.",https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/46987176,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/46987176/assets,"https://uploads.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/46987176/assets{?name,label}",https://github.com/DiseaseOntology/HumanDiseaseOntology/releases/tag/v2021-07-29,46987176,4333069,MDQ6VXNlcjQzMzMwNjk=,https://avatars.githubusercontent.com/u/4333069?v=4,NA,https://api.github.com/users/lschriml,https://github.com/lschriml,https://api.github.com/users/lschriml/followers,https://api.github.com/users/lschriml/following{/other_user},https://api.github.com/users/lschriml/gists{/gist_id},https://api.github.com/users/lschriml/starred{/owner}{/repo},https://api.github.com/users/lschriml/subscriptions,https://api.github.com/users/lschriml/orgs,https://api.github.com/users/lschriml/repos,https://api.github.com/users/lschriml/events{/privacy},https://api.github.com/users/lschriml/received_events,User,FALSE,MDc6UmVsZWFzZTQ2OTg3MTc2,main,FALSE,FALSE,2021-07-29T15:30:44Z,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/tarball/v2021-07-29,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/zipball/v2021-07-29,NA
v2021--6-08,early June DO release,lschriml,2021-06-08T20:22:15Z,"This release includes axiom updates defining anatomy to disease relationships (change from ‘located in’ to ‘disease has location’ usage in the logical axioms); the addition of Ryanodine receptor-1 (RYR1) related disease terms. 10,844 DO disease terms.",https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/44305520,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/44305520/assets,"https://uploads.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/44305520/assets{?name,label}",https://github.com/DiseaseOntology/HumanDiseaseOntology/releases/tag/v2021--6-08,44305520,4333069,MDQ6VXNlcjQzMzMwNjk=,https://avatars.githubusercontent.com/u/4333069?v=4,NA,https://api.github.com/users/lschriml,https://github.com/lschriml,https://api.github.com/users/lschriml/followers,https://api.github.com/users/lschriml/following{/other_user},https://api.github.com/users/lschriml/gists{/gist_id},https://api.github.com/users/lschriml/starred{/owner}{/repo},https://api.github.com/users/lschriml/subscriptions,https://api.github.com/users/lschriml/orgs,https://api.github.com/users/lschriml/repos,https://api.github.com/users/lschriml/events{/privacy},https://api.github.com/users/lschriml/received_events,User,FALSE,MDc6UmVsZWFzZTQ0MzA1NTIw,main,FALSE,FALSE,2021-06-08T20:25:28Z,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/tarball/v2021--6-08,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/zipball/v2021--6-08,NA
v2021-06-03,May release Human Disease Ontology,lschriml,2021-06-03T16:13:02Z,"DO's May 2021 release. This release includes updates to 115 files, the addition of 23 new DO disease terms, 58 textual definitions and 198 SubClassOf axioms, additional OMIM cross references, defining environmental exposures for alcohol and age of onset.",https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/44055682,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/44055682/assets,"https://uploads.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/44055682/assets{?name,label}",https://github.com/DiseaseOntology/HumanDiseaseOntology/releases/tag/v2021-06-03,44055682,4333069,MDQ6VXNlcjQzMzMwNjk=,https://avatars.githubusercontent.com/u/4333069?v=4,NA,https://api.github.com/users/lschriml,https://github.com/lschriml,https://api.github.com/users/lschriml/followers,https://api.github.com/users/lschriml/following{/other_user},https://api.github.com/users/lschriml/gists{/gist_id},https://api.github.com/users/lschriml/starred{/owner}{/repo},https://api.github.com/users/lschriml/subscriptions,https://api.github.com/users/lschriml/orgs,https://api.github.com/users/lschriml/repos,https://api.github.com/users/lschriml/events{/privacy},https://api.github.com/users/lschriml/received_events,User,FALSE,MDc6UmVsZWFzZTQ0MDU1Njgy,main,FALSE,FALSE,2021-06-03T16:18:45Z,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/tarball/v2021-06-03,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/zipball/v2021-06-03,NA
v2021-04-29,DO's April 2021 release,lschriml,2021-04-29T21:27:56Z,"This release includes 10,791 disease terms with 76% of terms defined - including the addition of 64 new disease terms, 67 textual definitions. and new cross references (OMIM, MeSH, GARD, Orphanet). Updates include: amyloidosis reclassification based on 2020 nomenclature update, polymicrogyria subtypes, sporadic amyotrophic lateral sclerosis, cytochrome P450 oxidoreductase deficiency and chromosomal 7q11.23 microduplication syndrome along with reorganization of the skeletal dysplasias, updated pediatric cancer nomenclature, and additional ICDO codes.",https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/42233081,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/42233081/assets,"https://uploads.github.com/repos/DiseaseOntology/HumanDiseaseOntology/releases/42233081/assets{?name,label}",https://github.com/DiseaseOntology/HumanDiseaseOntology/releases/tag/v2021-04-29,42233081,4333069,MDQ6VXNlcjQzMzMwNjk=,https://avatars.githubusercontent.com/u/4333069?v=4,NA,https://api.github.com/users/lschriml,https://github.com/lschriml,https://api.github.com/users/lschriml/followers,https://api.github.com/users/lschriml/following{/other_user},https://api.github.com/users/lschriml/gists{/gist_id},https://api.github.com/users/lschriml/starred{/owner}{/repo},https://api.github.com/users/lschriml/subscriptions,https://api.github.com/users/lschriml/orgs,https://api.github.com/users/lschriml/repos,https://api.github.com/users/lschriml/events{/privacy},https://api.github.com/users/lschriml/received_events,User,FALSE,MDc6UmVsZWFzZTQyMjMzMDgx,main,FALSE,FALSE,2021-04-29T21:34:32Z,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/tarball/v2021-04-29,https://api.github.com/repos/DiseaseOntology/HumanDiseaseOntology/zipball/v2021-04-29,NA
